Date,Time,Word,Subject,Age_utterance,Age_current,gender
6/11/14,16:40,Avocado ,animaletc,10mOrBefore,4to6y,female
6/11/14,16:44,Baba,person,10mOrBefore,0to3y,female
6/11/14,16:47,Dog,animaletc,10mOrBefore,0to3y,male
6/11/14,16:49,Duck,animaletc,10mOrBefore,7to12y,female
6/11/14,17:05,Tata,action,10mOrBefore,0to3y,female
6/11/14,17:15,Bird,animaletc,14mOrLater,0to3y,male
6/11/14,17:19,Hot ,animaletc,11m,0to3y,male
6/11/14,17:26,Uh-Oh,action,12m,0to3y,male
6/11/14,17:21,Tiens,action,10mOrBefore,0to3y,female
6/11/14,18:01,Baby ,person,13m,4to6y,male
6/11/14,18:31,Book,animaletc,11m,0to3y,male
6/11/14,18:25,Sissy,person,10mOrBefore,4to6y,female
6/11/14,18:33,Mama,,dontremember,7to12y,female
6/11/14,18:36,Bird,animaletc,10mOrBefore,4to6y,female
6/11/14,19:13,Ball,animaletc,10mOrBefore,0to3y,female
6/11/14,19:26,Dog,animaletc,10mOrBefore,0to3y,female
6/11/14,19:53,Ball,animaletc,10mOrBefore,7to12y,male
6/11/14,20:03,Doggie,animaletc,11m,4to6y,female
6/11/14,20:04,Ta ,other,10mOrBefore,4to6y,male
6/11/14,20:14,Blue,other,10mOrBefore,0to3y,male
6/11/14,20:04,Bye,action,10mOrBefore,0to3y,female
6/11/14,20:13,Cat,animaletc,12m,0to3y,male
6/11/14,20:14,Aja ,action,10mOrBefore,4to6y,male
6/11/14,20:19,Duck,,,13plusy,male
6/11/14,20:28,Bubbles,animaletc,10mOrBefore,0to3y,male
6/11/14,20:30,Mama,person,10mOrBefore,7to12y,female
6/11/14,20:31,Daisy,animaletc,10mOrBefore,4to6y,female
6/11/14,20:43,Agua,action,10mOrBefore,0to3y,male
6/11/14,20:41,Lion ,animaletc,12m,0to3y,male
6/11/14,20:45,Ball,animaletc,11m,7to12y,male
6/11/14,20:43,Ball,animaletc,14mOrLater,0to3y,male
6/11/14,20:55,Dada,,10mOrBefore,0to3y,female
6/11/14,20:57,Mas ,other,14mOrLater,4to6y,male
6/11/14,20:58,Dog,animaletc,11m,0to3y,female
6/11/14,21:00,Bear,animaletc,11m,4to6y,female
6/11/14,21:05,Duck,animaletc,10mOrBefore,4to6y,female
6/11/14,21:08,Duck,animaletc,10mOrBefore,0to3y,female
6/11/14,21:09,Tree,animaletc,10mOrBefore,4to6y,female
6/11/14,21:20,Nai-Nai,animaletc,11m,7to12y,male
